sessionId,sessionName,object,time,x,y,z,rotx,roty,rotz
b53f7a0307534528a03d9914c58eb219,unset,head,1734123948.5180554,0.4640162,1.739269,0.6858408,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123949.6403942,0.4601648,1.739564,0.6833768,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123950.7630725,0.4400365,1.8102,0.637973,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123951.8850923,0.4575908,1.770948,0.5985387,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123953.007355,0.4783642,1.693579,0.6852693,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123954.1288126,0.4749,1.695075,0.700119,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123955.2528114,0.4744661,1.691429,0.7082778,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123956.374687,0.4729366,1.705953,0.723424,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123957.4966123,0.4796093,1.733462,0.7082312,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123958.6193357,0.4730103,1.72247,0.7134213,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123959.7409325,0.4736114,1.729609,0.7234177,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123960.862245,0.4640591,1.725774,0.7325767,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123961.9848893,0.4601378,1.724078,0.7339993,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123963.1071734,0.4694014,1.724005,0.723137,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123964.2290034,0.4710896,1.728225,0.713614,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123965.352152,0.4825292,1.717761,0.7030677,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123966.4737391,0.4806175,1.699633,0.7007581,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123967.5963402,0.4769447,1.699183,0.7027997,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123968.7188518,0.4803965,1.692634,0.7083466,0,0,0
b53f7a0307534528a03d9914c58eb219,unset,head,1734123969.8409927,0.483494,1.692041,0.7049347,0,0,0
