sessionId,sessionName,object,time,x,y,z,rotx,roty,rotz
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124269.236443,0.4039214,1.709964,0.5143714,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124270.3615227,0.4068208,1.627771,0.5237915,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124271.4830732,0.3995745,1.705845,0.5297113,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124272.6055822,0.384748,1.681018,0.5286136,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124273.7285407,0.3928089,1.622913,0.5168094,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124274.851184,0.4076228,1.620954,0.5605382,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124275.971394,0.4282656,1.649722,0.4399706,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124277.0940666,0.4619372,1.639712,0.2951024,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124278.217021,0.403909,1.643888,0.236244,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124279.3410575,0.3217168,1.722692,0.1699337,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124280.462286,0.2673461,1.714371,0.1454228,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124281.58291,0.2299342,1.690111,0.1428684,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124282.705799,0.06355071,1.734138,0.2141942,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124283.8265073,0.0753336,1.732836,0.1892858,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124284.9392064,0.07673144,1.732305,0.1825618,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124286.0693834,0.07379889,1.736645,0.1913306,0,0,0
81a224600f3144b28d0fb98f2cb72199,unset,head,1734124287.1922688,0.08830118,1.752449,0.1901532,0,0,0
