sessionId,sessionName,object,time,x,y,z,rotx,roty,rotz
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116786.027641,0.6454005,1.66296,0.7483097,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116787.1499655,0.6162834,1.654613,0.7247388,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116788.2717805,0.6297417,1.660177,0.7148443,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116789.3923974,0.8297691,1.751712,0.7506249,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116790.5161614,0.8888357,1.719793,0.6649834,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116791.639041,0.8952127,1.717808,0.6397084,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116792.7618418,0.9015031,1.729411,0.6258174,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116793.884192,0.9610853,1.719499,0.8501706,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116795.006897,0.6823862,1.749278,0.8212532,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116796.1575954,0.9113572,1.760675,0.8416889,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116797.2780936,0.8687348,1.773889,0.8008016,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116798.4040565,0.8473423,1.750408,0.7804977,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116799.526257,0.8538401,1.738153,0.7937987,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116800.6482728,0.8580701,1.74963,0.783057,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116801.7706137,0.8506043,1.751996,0.7836894,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116802.893953,0.7963257,1.76475,0.7232538,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116804.0173206,0.7585735,1.736144,0.6469569,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116805.1375504,0.7867568,1.777576,0.729292,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116806.2599225,0.8532813,1.775035,0.7786068,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116807.3734086,0.8118308,1.779979,0.7371014,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116808.492673,0.8479106,1.743789,0.7904115,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116809.6259892,0.8366249,1.730211,0.7950035,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116810.7486777,0.8059964,1.784105,0.7477942,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116811.8717914,0.8876617,1.729858,0.8239318,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116812.9927406,0.8854334,1.723637,0.7929811,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116814.1153145,0.8625519,1.732873,0.7311524,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116815.2374828,0.8776391,1.745045,0.701923,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116816.359625,0.8660445,1.759624,0.703277,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116817.4827023,0.8428886,1.727291,0.6996248,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116818.604885,0.757725,1.733735,0.5092981,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116819.7259033,0.7549956,1.722402,0.5078527,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116820.8500776,0.7528045,1.718773,0.519254,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116821.9717271,0.7581553,1.727957,0.5183153,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116823.0946832,0.7778022,1.730866,0.5370159,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116824.2168725,0.781194,1.731182,0.5303871,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116825.339024,0.7861383,1.734537,0.5378326,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116826.461424,0.7766809,1.72531,0.5363573,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116827.582731,0.7464378,1.722215,0.4717444,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116828.7061985,0.722955,1.717065,0.4297577,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116829.8278527,0.7768934,1.745289,0.6127696,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116830.9502032,0.8624871,1.754033,0.7425501,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116832.0716746,0.8775671,1.763936,0.7250146,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116833.1938336,0.8836358,1.704722,0.7395616,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116834.3696702,0.9089236,1.75466,0.7228374,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116835.4918294,0.8876309,1.738639,0.7320132,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116836.6148486,0.8732846,1.739654,0.7181673,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116837.7471519,0.869889,1.749514,0.6942037,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116838.8697984,0.8361356,1.743847,0.6982716,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116839.9926078,0.8860002,1.745175,0.7110506,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116841.1160028,0.8938661,1.747482,0.726481,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116842.2385561,0.8564379,1.748117,0.7302521,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116843.3596377,0.8699598,1.755141,0.7255355,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116844.4822423,0.8644998,1.756724,0.7221454,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116845.5938377,0.8550537,1.752739,0.7241868,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116846.7261205,0.8708692,1.746991,0.8412182,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116847.8473423,0.7467873,1.763159,0.8943199,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116848.9738271,0.729831,1.751339,0.9229988,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116850.0920422,0.882453,1.709336,0.9143183,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116851.2154827,0.7580166,1.751538,0.9456993,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116852.338142,0.7392232,1.750253,0.929692,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116853.4605181,0.6831586,1.763422,0.9158612,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116854.57268,0.6941104,1.754034,0.9021295,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116855.6948683,0.7200043,1.762718,0.9020283,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116856.8176327,0.7279358,1.733803,0.8966748,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116857.9360638,0.7521639,1.727662,0.917854,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116859.0698755,0.7727885,1.677603,0.9276081,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116860.2023685,0.7615623,1.682767,0.9441322,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116861.3858004,0.7477427,1.683574,0.9447106,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116862.5015874,0.7382565,1.682955,0.9407447,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116863.6709664,0.7632241,1.682282,0.9412763,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116864.7927475,0.7749746,1.684637,0.9404001,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116865.9161851,0.7740724,1.689096,0.9481384,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116867.0382004,0.7845857,1.690089,0.9425546,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116868.1608555,0.759181,1.783545,0.9035566,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116869.2825027,0.8339512,1.730212,0.8622234,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116870.4056256,0.7673078,1.700853,0.9306212,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116871.5278406,0.7782331,1.703813,0.9308297,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116872.649704,0.7695701,1.681173,0.9344197,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116873.7726905,0.7930858,1.611104,0.9357037,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116874.8940475,0.7836769,1.671201,0.9446419,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116876.01574,0.7499988,1.726508,0.9372693,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116877.1389084,0.7980893,1.698254,0.9266881,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116878.2610688,0.7747407,1.694536,0.9346435,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116879.3830135,0.8343771,1.692077,0.9313241,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116880.5060728,0.8566849,1.692154,0.9328773,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116881.6272404,0.8774548,1.67529,1.125474,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116882.7495039,0.926388,1.672041,1.15737,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116883.8714445,0.9129744,1.671234,1.158167,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116884.9932444,0.9055741,1.675518,1.146237,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116886.1067998,0.9519627,1.681322,1.052579,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116887.238895,0.8030052,1.691175,0.9239515,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116888.360201,0.8655653,1.678609,0.9444928,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116889.4834952,0.8561008,1.681328,0.9528623,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116890.6047003,0.9052336,1.702068,0.940567,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116891.726957,0.9004569,1.688434,0.9568195,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116892.8496242,0.8953469,1.689471,0.9674588,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116893.971392,0.8992677,1.684285,0.9756233,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116895.0949187,0.8968232,1.686846,0.9750848,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116896.2062047,0.9841926,1.535812,1.199517,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116897.3389773,1.007724,1.472545,1.265447,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116898.4604204,1.010254,1.479122,1.25515,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116899.583171,0.9967051,1.491648,1.239168,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116900.7055924,0.9625514,1.599997,1.129737,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116901.8268552,0.8738,1.626247,1.011486,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116902.9497764,0.8608329,1.646932,0.9958667,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116904.0715945,0.8666859,1.659154,0.9849355,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116905.193895,0.8704491,1.666655,0.9764634,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116906.3155973,0.8707533,1.670295,0.9740145,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116907.4284656,0.8752503,1.669641,0.9750718,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116908.5625079,0.8683124,1.714315,0.9505479,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116909.682834,0.8871198,1.766462,0.9044683,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116910.802424,0.8865979,1.770475,0.9026296,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116911.9256432,0.9223444,1.736453,0.9368903,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116913.0476198,0.8824155,1.714658,0.8984002,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116914.1695843,0.9563704,1.688697,0.9193113,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116915.2927077,0.8145194,1.709201,0.8801957,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116916.4155817,0.724478,1.721617,0.8043134,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116917.5386443,0.7750726,1.724288,0.8247287,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116918.650975,0.840097,1.722471,0.8378716,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116919.7834973,0.8670535,1.713995,0.870052,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116920.902899,0.8762336,1.683992,0.8799591,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116922.0258064,0.9522204,1.643454,0.8985757,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116923.1508505,1.036195,1.58628,0.9023347,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116924.271111,0.8598993,1.726216,0.8761303,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116925.3846827,0.8333871,1.735065,0.8597695,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116926.5122664,0.7842593,1.734852,0.8725272,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116927.6270053,0.8106728,1.734716,0.8862265,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116928.7622325,0.8696649,1.726101,0.8970348,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116929.8906212,0.8664494,1.72669,0.9047242,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116931.0139709,0.9231198,1.733333,0.9092602,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116932.137444,0.8077466,1.732619,0.910751,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116933.2589953,0.7923248,1.736829,0.8962086,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116934.3819132,0.7720726,1.733279,0.8931632,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116935.5036542,0.7460151,1.701905,0.7437282,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116936.6256711,0.6636391,1.719903,0.6589352,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116937.748324,0.4637716,1.689053,0.5542548,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116938.8702164,0.4850507,1.727034,0.558008,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116939.9923947,0.4732587,1.737822,0.5568806,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116941.1158729,0.458245,1.671056,0.5631315,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116942.2370176,0.5812259,1.7241,0.7321231,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116943.3499918,0.6543212,1.710015,0.756168,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116944.473016,0.657604,1.709029,0.7628728,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116945.604486,0.6020722,1.698142,0.7547261,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116946.7714608,0.5802772,1.682712,0.7690353,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116947.8800156,0.6200099,1.752127,0.7448576,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116949.0236487,0.5761788,1.694259,0.7692094,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116950.1468444,0.5591843,1.707591,0.7471644,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116951.2700787,0.6430128,1.707313,0.7337455,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116952.3922184,0.698911,1.74444,0.7066964,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116953.516665,0.622086,1.70828,0.7173393,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116954.6349692,0.60905,1.692335,0.735675,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116955.7688231,0.5946627,1.66901,0.7397655,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116956.9043198,0.6288514,1.674737,0.7764906,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116958.0559852,0.6141329,1.649561,0.7817875,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116959.1672025,0.6173964,1.670517,0.7819598,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116960.2905552,0.6258085,1.678709,0.7798765,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116961.412896,0.6224701,1.670397,0.772049,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116962.5384028,0.6168962,1.686495,0.769852,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116963.6686163,0.6167097,1.681066,0.7648243,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116964.7906687,0.6103089,1.670391,0.7694191,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116965.9245603,0.6086347,1.681613,0.7728807,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116967.0365105,0.6188807,1.774094,0.701467,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116968.1580434,0.6066315,1.736478,0.7366406,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116969.2844768,0.5895607,1.693944,0.7703178,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116970.4017055,0.5804219,1.653518,0.800399,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116971.52472,0.6058037,1.764758,0.742173,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116972.6481204,0.5893126,1.748217,0.7482558,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116973.7784755,0.6955788,1.774198,0.7116358,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116974.902882,0.6342552,1.76185,0.7476594,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116976.0249546,0.8577535,1.751813,0.633285,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116977.1386201,0.8804762,1.711456,0.6476386,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116978.2624135,0.8247738,1.740158,0.7048205,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116979.3921309,0.9475358,1.724915,0.6428786,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116980.5146093,0.9183371,1.705759,0.5540291,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116981.6385403,0.8452461,1.700823,0.4461879,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116982.76016,0.9261129,1.699251,0.516696,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116983.8833096,0.9691305,1.709249,0.6056035,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116984.9960508,0.9394369,1.724639,0.675776,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116986.1268966,0.8750312,1.711809,0.7328752,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116987.2490218,0.9053397,1.711012,0.7400525,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116988.3618665,0.9009428,1.714568,0.7332985,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116989.4943209,0.8806887,1.71535,0.7360988,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116990.6168213,0.8563559,1.647327,0.7424035,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116991.736243,0.8635206,1.610231,0.7580168,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116992.8595328,0.8781791,1.716457,0.7559649,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116993.9715111,0.8749828,1.713689,0.7332866,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116995.1035247,0.8736606,1.720057,0.7164746,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116996.2149565,0.876292,1.718349,0.7174482,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116997.3467734,0.8668292,1.721271,0.7108313,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116998.460312,0.7980311,1.716168,0.7181271,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734116999.5921478,0.8375895,1.713751,0.7285024,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117000.7146516,0.906266,1.711565,0.7386675,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117001.826836,0.8970869,1.705467,0.7523501,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117002.9602923,0.9221239,1.715976,0.7538702,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117004.0826006,0.8867023,1.720374,0.7458738,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117005.204371,0.8915269,1.724756,0.7448377,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117006.327116,0.9155533,1.734705,0.7305824,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117007.4406419,0.8998189,1.725093,0.737273,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117008.5614088,0.9023626,1.718683,0.7481754,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117009.6968448,0.9139044,1.7166,0.745656,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117010.8058808,0.9117205,1.716708,0.7427005,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117011.9376068,0.908865,1.716316,0.7474233,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117013.0494595,0.913296,1.716791,0.7493186,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117014.1715574,0.9054353,1.717935,0.749935,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117015.3051124,0.9015956,1.720179,0.7477676,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117016.4271598,0.9035535,1.719415,0.7476199,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117017.5481737,0.8993745,1.719065,0.7499217,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117018.6621296,0.897279,1.717911,0.7504457,0,0,0
ea6d9997cf774cd8b09cb5ddd301effe,unset,head,1734117019.7906563,0.8885219,1.811961,0.6826873,0,0,0
